Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Characteristics[Infraspecific Name]	Characteristics[Material Source ID]	Characteristics[Material Source DOI]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]	Factor Value[water_regime]
A375_H	NCBITAXON:4577	Zea	mays	var. A375	A375_H	https://doi.org/10.15454/7OOY7F	Growth	FRI00406607	replicate>block>plot	X:19;Y:2;plot:FRI00406607	watered
A375_H	NCBITAXON:4577	Zea	mays	var. A375	A375_H	https://doi.org/10.15454/7OOY7F	Growth	3103water_regimewatered	virtual_trial		watered
A3_H	NCBITAXON:4577	Zea	mays	var. A3	A3_H	https://doi.org/10.15454/IGF7DX	Growth	3102water_regimerainfed	virtual_trial		rainfed
A3_H	NCBITAXON:4577	Zea	mays	var. A3	A3_H	https://doi.org/10.15454/IGF7DX	Growth	FRI00407586	replicate>block>plot	X:19;Y:35;plot:FRI00407586	rainfed
A3_H	NCBITAXON:4577	Zea	mays	var. A3	A3_H	https://doi.org/10.15454/IGF7DX	Growth	FRI00408159	replicate>block>plot	X:7;Y:7;plot:FRI00408159	rainfed
A3_H	NCBITAXON:4577	Zea	mays	var. A3	A3_H	https://doi.org/10.15454/IGF7DX	Growth	FRI00406918	replicate>block>plot	X:7;Y:2;plot:FRI00406918	watered
A3_H	NCBITAXON:4577	Zea	mays	var. A3	A3_H	https://doi.org/10.15454/IGF7DX	Growth	FRI00408055	replicate>block>plot	X:2;Y:42;plot:FRI00408055	rainfed
A3_H	NCBITAXON:4577	Zea	mays	var. A3	A3_H	https://doi.org/10.15454/IGF7DX	Growth	3102water_regimewatered	virtual_trial		watered
A3_H	NCBITAXON:4577	Zea	mays	var. A3	A3_H	https://doi.org/10.15454/IGF7DX	Growth	FRI00406676	replicate>block>plot	X:16;Y:12;plot:FRI00406676	watered
A554_H	NCBITAXON:4577	Zea	mays	var. A554	A554_H	https://doi.org/10.15454/9E4IDY	Growth	FRI00407741	replicate>block>plot	X:13;Y:48;plot:FRI00407741	rainfed
A554_H	NCBITAXON:4577	Zea	mays	var. A554	A554_H	https://doi.org/10.15454/9E4IDY	Growth	3221water_regimerainfed	virtual_trial		rainfed
A554_H	NCBITAXON:4577	Zea	mays	var. A554	A554_H	https://doi.org/10.15454/9E4IDY	Growth	FRI00407073	replicate>block>plot	X:2;Y:12;plot:FRI00407073	watered
A554_H	NCBITAXON:4577	Zea	mays	var. A554	A554_H	https://doi.org/10.15454/9E4IDY	Growth	FRI00407832	replicate>block>plot	X:10;Y:41;plot:FRI00407832	rainfed
A554_H	NCBITAXON:4577	Zea	mays	var. A554	A554_H	https://doi.org/10.15454/9E4IDY	Growth	FRI00406781	replicate>block>plot	X:12;Y:5;plot:FRI00406781	watered
A554_H	NCBITAXON:4577	Zea	mays	var. A554	A554_H	https://doi.org/10.15454/9E4IDY	Growth	FRI00408180	replicate>block>plot	X:7;Y:28;plot:FRI00408180	rainfed
A554_H	NCBITAXON:4577	Zea	mays	var. A554	A554_H	https://doi.org/10.15454/9E4IDY	Growth	3221water_regimewatered	virtual_trial		watered
AS5707_H	NCBITAXON:4577	Zea	mays	var. AS5707	AS5707_H	https://doi.org/10.15454/U4PWL3	Growth	FRI00407050	replicate>block>plot	X:3;Y:22;plot:FRI00407050	watered
AS5707_H	NCBITAXON:4577	Zea	mays	var. AS5707	AS5707_H	https://doi.org/10.15454/U4PWL3	Growth	3067water_regimerainfed	virtual_trial		rainfed
AS5707_H	NCBITAXON:4577	Zea	mays	var. AS5707	AS5707_H	https://doi.org/10.15454/U4PWL3	Growth	FRI00408183	replicate>block>plot	X:6;Y:26;plot:FRI00408183	rainfed
AS5707_H	NCBITAXON:4577	Zea	mays	var. AS5707	AS5707_H	https://doi.org/10.15454/U4PWL3	Growth	FRI00407626	replicate>block>plot	X:17;Y:51;plot:FRI00407626	rainfed
AS5707_H	NCBITAXON:4577	Zea	mays	var. AS5707	AS5707_H	https://doi.org/10.15454/U4PWL3	Growth	FRI00406599	replicate>block>plot	X:19;Y:10;plot:FRI00406599	watered
AS5707_H	NCBITAXON:4577	Zea	mays	var. AS5707	AS5707_H	https://doi.org/10.15454/U4PWL3	Growth	3067water_regimewatered	virtual_trial		watered
AS5707_H	NCBITAXON:4577	Zea	mays	var. AS5707	AS5707_H	https://doi.org/10.15454/U4PWL3	Growth	FRI00408008	replicate>block>plot	X:4;Y:33;plot:FRI00408008	rainfed
B100_H	NCBITAXON:4577	Zea	mays	var. B100	B100_H	https://doi.org/10.15454/PJSPJG	Growth	FRI00406701	replicate>block>plot	X:15;Y:20;plot:FRI00406701	watered
B100_H	NCBITAXON:4577	Zea	mays	var. B100	B100_H	https://doi.org/10.15454/PJSPJG	Growth	FRI00408065	replicate>block>plot	X:2;Y:32;plot:FRI00408065	rainfed
B100_H	NCBITAXON:4577	Zea	mays	var. B100	B100_H	https://doi.org/10.15454/PJSPJG	Growth	FRI00407661	replicate>block>plot	X:16;Y:41;plot:FRI00407661	rainfed
B100_H	NCBITAXON:4577	Zea	mays	var. B100	B100_H	https://doi.org/10.15454/PJSPJG	Growth	3019water_regimewatered	virtual_trial		watered
B100_H	NCBITAXON:4577	Zea	mays	var. B100	B100_H	https://doi.org/10.15454/PJSPJG	Growth	FRI00408247	replicate>block>plot	X:4;Y:18;plot:FRI00408247	rainfed
B100_H	NCBITAXON:4577	Zea	mays	var. B100	B100_H	https://doi.org/10.15454/PJSPJG	Growth	FRI00406946	replicate>block>plot	X:6;Y:27;plot:FRI00406946	watered
