Source Name	Characteristics[Organism]	Characteristics[Genus]	Characteristics[Species]	Characteristics[Infraspecific Name]	Characteristics[Material Source ID]	Characteristics[Material Source DOI]	Protocol REF	Sample Name	Characteristics[Observation Unit Type]	Characteristics[Spatial Distribution]	Factor Value[water_regime]
A375_H	NCBITAXON:4577	Zea	mays	var. A375	A375_H	https://doi.org/10.15454/7OOY7F	Growth	YCXGDTM1079046	replicate>block>plot	X:79;Y:46;plot:YCXGDTM1079046	watered
A375_H	NCBITAXON:4577	Zea	mays	var. A375	A375_H	https://doi.org/10.15454/7OOY7F	Growth	YCXGDTM1050018	replicate>block>plot	X:50;Y:18;plot:YCXGDTM1050018	rainfed
A375_H	NCBITAXON:4577	Zea	mays	var. A375	A375_H	https://doi.org/10.15454/7OOY7F	Growth	YCXGDTM1100028	replicate>block>plot	X:100;Y:28;plot:YCXGDTM1100028	rainfed
A375_H	NCBITAXON:4577	Zea	mays	var. A375	A375_H	https://doi.org/10.15454/7OOY7F	Growth	3103water_regimewatered	virtual_trial		watered
A3_H	NCBITAXON:4577	Zea	mays	var. A3	A3_H	https://doi.org/10.15454/IGF7DX	Growth	YCXGDTM1076040	replicate>block>plot	X:76;Y:40;plot:YCXGDTM1076040	watered
A3_H	NCBITAXON:4577	Zea	mays	var. A3	A3_H	https://doi.org/10.15454/IGF7DX	Growth	YCXGDTM1075026	replicate>block>plot	X:75;Y:26;plot:YCXGDTM1075026	rainfed
A3_H	NCBITAXON:4577	Zea	mays	var. A3	A3_H	https://doi.org/10.15454/IGF7DX	Growth	YCXGDTM1107019	replicate>block>plot	X:107;Y:19;plot:YCXGDTM1107019	rainfed
A3_H	NCBITAXON:4577	Zea	mays	var. A3	A3_H	https://doi.org/10.15454/IGF7DX	Growth	3102water_regimerainfed	virtual_trial		rainfed
A3_H	NCBITAXON:4577	Zea	mays	var. A3	A3_H	https://doi.org/10.15454/IGF7DX	Growth	YCXGDTM1053030	replicate>block>plot	X:53;Y:30;plot:YCXGDTM1053030	rainfed
A3_H	NCBITAXON:4577	Zea	mays	var. A3	A3_H	https://doi.org/10.15454/IGF7DX	Growth	3102water_regimewatered	virtual_trial		watered
A3_H	NCBITAXON:4577	Zea	mays	var. A3	A3_H	https://doi.org/10.15454/IGF7DX	Growth	YCXGDTM1084044	replicate>block>plot	X:84;Y:44;plot:YCXGDTM1084044	watered
A554_H	NCBITAXON:4577	Zea	mays	var. A554	A554_H	https://doi.org/10.15454/9E4IDY	Growth	3221water_regimewatered	virtual_trial		watered
A554_H	NCBITAXON:4577	Zea	mays	var. A554	A554_H	https://doi.org/10.15454/9E4IDY	Growth	YCXGDTM1075024	replicate>block>plot	X:75;Y:24;plot:YCXGDTM1075024	rainfed
A554_H	NCBITAXON:4577	Zea	mays	var. A554	A554_H	https://doi.org/10.15454/9E4IDY	Growth	3221water_regimerainfed	virtual_trial		rainfed
A554_H	NCBITAXON:4577	Zea	mays	var. A554	A554_H	https://doi.org/10.15454/9E4IDY	Growth	YCXGDTM1085039	replicate>block>plot	X:85;Y:39;plot:YCXGDTM1085039	watered
